timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThread,Latency,IdleTime,Connect
1.60712E+12,1478,GetDistribution,200,OK,Thread Group 2-2400,text,TRUE,,373,307,17,17,1478,0,907
1.60712E+12,1691,GetDistribution,200,OK,Thread Group 2-2399,text,TRUE,,373,307,18,18,1691,0,1062
1.60712E+12,601,home-page,200,OK,Thread Group 2-2395,text,TRUE,,404,169,19,19,601,0,294
1.60712E+12,1613,GetDistribution,200,OK,Thread Group 2-2401,text,TRUE,,373,307,18,18,1612,0,972
1.60712E+12,1451,GetDistribution,200,OK,Thread Group 2-2403,text,TRUE,,373,307,18,18,1451,0,850
1.60712E+12,476,home-page,200,OK,Thread Group 2-2397,text,TRUE,,404,169,17,17,476,0,233
1.60712E+12,1247,GetDistribution,200,OK,Thread Group 2-2406,text,TRUE,,373,307,18,18,1247,0,753
1.60712E+12,1738,GetDistribution,200,OK,Thread Group 2-2402,text,TRUE,,373,307,18,18,1738,0,1061
1.60712E+12,1590,GetDistribution,200,OK,Thread Group 2-2404,text,TRUE,,373,307,17,17,1590,0,946
1.60712E+12,479,home-page,200,OK,Thread Group 2-2399,text,TRUE,,404,169,18,18,479,0,236
1.60712E+12,1646,GetDistribution,200,OK,Thread Group 2-2405,text,TRUE,,373,307,18,18,1646,0,948
1.60712E+12,477,home-page,200,OK,Thread Group 2-2401,text,TRUE,,404,169,18,18,477,0,233
1.60712E+12,1295,GetDistribution,200,OK,Thread Group 2-2410,text,TRUE,,374,307,19,19,1295,0,752
1.60712E+12,516,home-page,200,OK,Thread Group 2-2406,text,TRUE,,404,169,20,20,516,0,256
1.60712E+12,1689,GetDistribution,200,OK,Thread Group 2-2407,text,TRUE,,374,307,19,19,1689,0,959
1.60712E+12,1726,GetDistribution,200,OK,Thread Group 2-2408,text,TRUE,,374,307,19,19,1726,0,967
1.60712E+12,623,home-page,200,OK,Thread Group 2-2404,text,TRUE,,404,169,19,19,623,0,304
1.60712E+12,1660,GetDistribution,200,OK,Thread Group 2-2409,text,TRUE,,374,307,20,20,1660,0,950
1.60712E+12,1327,GetDistribution,200,OK,Thread Group 2-2413,text,TRUE,,374,307,19,19,1326,0,738
1.60712E+12,1231,GetDistribution,200,OK,Thread Group 2-2414,text,TRUE,,374,307,19,19,1231,0,767
1.60712E+12,640,home-page,200,OK,Thread Group 2-2405,text,TRUE,,404,169,18,18,640,0,319
1.60712E+12,1216,GetDistribution,200,OK,Thread Group 2-2415,text,TRUE,,374,307,18,18,1216,0,743
1.60712E+12,1533,GetDistribution,200,OK,Thread Group 2-2412,text,TRUE,,374,307,17,17,1532,0,958
1.60712E+12,1679,GetDistribution,200,OK,Thread Group 2-2411,text,TRUE,,374,307,17,17,1679,0,971
1.60712E+12,496,home-page,200,OK,Thread Group 2-2410,text,TRUE,,404,169,16,16,496,0,245
1.60712E+12,492,home-page,200,OK,Thread Group 2-2408,text,TRUE,,404,169,17,17,492,0,239
1.60712E+12,477,home-page,200,OK,Thread Group 2-2409,text,TRUE,,404,169,17,17,477,0,232
1.60712E+12,1358,GetDistribution,200,OK,Thread Group 2-2417,text,TRUE,,374,307,15,15,1358,0,760
1.60712E+12,1560,GetDistribution,200,OK,Thread Group 2-2416,text,TRUE,,374,307,15,15,1559,0,924
1.60712E+12,1245,GetDistribution,200,OK,Thread Group 2-2420,text,TRUE,,374,307,16,16,1245,0,764
1.60712E+12,607,home-page,200,OK,Thread Group 2-2415,text,TRUE,,404,169,16,16,607,0,302
1.60712E+12,1550,GetDistribution,200,OK,Thread Group 2-2419,text,TRUE,,374,307,16,16,1550,0,922
1.60712E+12,1672,GetDistribution,200,OK,Thread Group 2-2418,text,TRUE,,374,307,16,16,1672,0,958
1.60712E+12,1246,GetDistribution,200,OK,Thread Group 2-2423,text,TRUE,,374,307,15,15,1246,0,758
1.60712E+12,1224,GetDistribution,200,OK,Thread Group 2-2424,text,TRUE,,374,307,16,16,1224,0,771
1.60712E+12,1613,GetDistribution,200,OK,Thread Group 2-2421,text,TRUE,,374,307,17,17,1613,0,948
1.60712E+12,1544,GetDistribution,200,OK,Thread Group 2-2422,text,TRUE,,374,307,16,16,1544,0,930
1.60712E+12,606,home-page,200,OK,Thread Group 2-2416,text,TRUE,,404,169,16,16,605,0,299
1.60712E+12,1592,GetDistribution,200,OK,Thread Group 2-2425,text,TRUE,,374,307,19,19,1592,0,916
1.60712E+12,502,home-page,200,OK,Thread Group 2-2424,text,TRUE,,404,169,18,18,502,0,244
1.60712E+12,1446,GetDistribution,200,OK,Thread Group 2-2427,text,TRUE,,374,307,17,17,1445,0,931
1.60712E+12,634,home-page,200,OK,Thread Group 2-2423,text,TRUE,,404,169,17,17,634,0,313
1.60712E+12,513,home-page,200,OK,Thread Group 2-2422,text,TRUE,,404,169,16,16,513,0,248
1.60712E+12,1698,GetDistribution,200,OK,Thread Group 2-2426,text,TRUE,,374,307,16,16,1698,0,756
1.60712E+12,1569,GetDistribution,200,OK,Thread Group 2-2428,text,TRUE,,374,307,16,16,1569,0,927
1.60712E+12,1569,GetDistribution,200,OK,Thread Group 2-2429,text,TRUE,,374,307,16,16,1569,0,935
1.60712E+12,1412,GetDistribution,200,OK,Thread Group 2-2431,text,TRUE,,374,307,15,15,1412,0,752
1.60712E+12,1720,GetDistribution,200,OK,Thread Group 2-2430,text,TRUE,,374,307,16,16,1720,0,951
1.60712E+12,1584,GetDistribution,200,OK,Thread Group 2-2432,text,TRUE,,374,307,16,16,1584,0,925
1.60712E+12,1393,GetDistribution,200,OK,Thread Group 2-2434,text,TRUE,,374,307,16,16,1393,0,784
1.60712E+12,1349,GetDistribution,200,OK,Thread Group 2-2435,text,TRUE,,374,307,16,16,1349,0,758
1.60712E+12,1631,GetDistribution,200,OK,Thread Group 2-2433,text,TRUE,,374,307,16,16,1631,0,951
1.60712E+12,1422,GetDistribution,200,OK,Thread Group 2-2437,text,TRUE,,374,307,17,17,1422,0,770
